year_index,borrower_id_rus,borrower_name_rus,report_year,report_month,plant_name_rus,opex_supervision_and_engineering_cost,opex_oil_fuel_cost,opex_oil_fuel_cost_per_mmbtu,opex_gas_fuel_cost,opex_gas_fuel_cost_per_mmbtu,opex_other_fuel_cost,opex_other_fuel_cost_per_mmbtu,opex_energy_for_compressed_air_cost,opex_energy_for_compressed_air_cost_per_mwh,opex_total_fuel_cost,opex_total_fuel_cost_per_mwh,opex_total_fuel_cost_per_mmbtu,opex_generation_cost,opex_other_generation_cost,opex_rents_cost,opex_non_fuels_subtotal_cost,opex_non_fuels_subtotal_cost_per_mwh,opex_operations_total_cost,opex_operations_total_cost_per_mwh,opex_maintenance_supervision_and_engineering_cost,opex_maintenance_structures_cost,opex_maintenance_generating_and_electric_plant_cost,opex_maintenance_other_plant_cost,opex_maintenance_total_cost,opex_maintenance_total_cost_per_mwh,opex_total_cost,opex_total_cost_per_mwh,capex_depreciation_cost,capex_interest_cost,capex_total_fixed_cost,capex_total_fixed_cost_per_mwh,total_power_cost,total_power_cost_per_mwh
2006,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fueloilamount,fueloilbtu,fuelgasamount,fuelgasbtu,fuelotheramount,fuelotherbtu,energyforcompressedairamount,energyforcompressedairnet,fuelsubtotalamount,fuelsubtotalnet,fuelsubtotalbtu,generationexpensesamount,miscellaneousexpensesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalamountnet,operationexpenseamount,operationexpensenet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofgeneratingamount,maintenanceofmiscellaneousamount,maintenanceexpenseamount,maintenanceexpensenet,totalproductionexpenseamount,totalproductionexpensenet,depreciationamount,interestamount,totalfixedcostamount,totalfixedcostnet,powercostamount,powercostnet
2007,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fueloilamount,fueloilbtu,fuelgasamount,fuelgasbtu,fuelotheramount,fuelotherbtu,energyforcompressedairamount,energyforcompressedairnet,fuelsubtotalamount,fuelsubtotalnet,fuelsubtotalbtu,generationexpensesamount,miscellaneousexpensesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalamountnet,operationexpenseamount,operationexpensenet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofgeneratingamount,maintenanceofmiscellaneousamount,maintenanceexpenseamount,maintenanceexpensenet,totalproductionexpenseamount,totalproductionexpensenet,depreciationamount,interestamount,totalfixedcostamount,totalfixedcostnet,powercostamount,powercostnet
2008,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fueloilamount,fueloilbtu,fuelgasamount,fuelgasbtu,fuelotheramount,fuelotherbtu,energyforcompressedairamount,energyforcompressedairnet,fuelsubtotalamount,fuelsubtotalnet,fuelsubtotalbtu,generationexpensesamount,miscellaneousexpensesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalamountnet,operationexpenseamount,operationexpensenet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofgeneratingamount,maintenanceofmiscellaneousamount,maintenanceexpenseamount,maintenanceexpensenet,totalproductionexpenseamount,totalproductionexpensenet,depreciationamount,interestamount,totalfixedcostamount,totalfixedcostnet,powercostamount,powercostnet
2009,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fueloilamount,fueloilbtu,fuelgasamount,fuelgasbtu,fuelotheramount,fuelotherbtu,energyforcompressedairamount,energyforcompressedairnet,fuelsubtotalamount,fuelsubtotalnet,fuelsubtotalbtu,generationexpensesamount,miscellaneousexpensesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalamountnet,operationexpenseamount,operationexpensenet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofgeneratingamount,maintenanceofmiscellaneousamount,maintenanceexpenseamount,maintenanceexpensenet,totalproductionexpenseamount,totalproductionexpensenet,depreciationamount,interestamount,totalfixedcostamount,totalfixedcostnet,powercostamount,powercostnet
2010,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fueloilamount,fueloilbtu,fuelgasamount,fuelgasbtu,fuelotheramount,fuelotherbtu,energyforcompressedairamount,energyforcompressedairnet,fuelsubtotalamount,fuelsubtotalnet,fuelsubtotalbtu,generationexpensesamount,miscellaneousexpensesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalamountnet,operationexpenseamount,operationexpensenet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofgeneratingamount,maintenanceofmiscellaneousamount,maintenanceexpenseamount,maintenanceexpensenet,totalproductionexpenseamount,totalproductionexpensenet,depreciationamount,interestamount,totalfixedcostamount,totalfixedcostnet,powercostamount,powercostnet
2011,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fueloilamount,fueloilbtu,fuelgasamount,fuelgasbtu,fuelotheramount,fuelotherbtu,energyforcompressedairamount,energyforcompressedairnet,fuelsubtotalamount,fuelsubtotalnet,fuelsubtotalbtu,generationexpensesamount,miscellaneousexpensesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalamountnet,operationexpenseamount,operationexpensenet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofgeneratingamount,maintenanceofmiscellaneousamount,maintenanceexpenseamount,maintenanceexpensenet,totalproductionexpenseamount,totalproductionexpensenet,depreciationamount,interestamount,totalfixedcostamount,totalfixedcostnet,powercostamount,powercostnet
2012,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fueloilamount,fueloilbtu,fuelgasamount,fuelgasbtu,fuelotheramount,fuelotherbtu,energyforcompressedairamount,energyforcompressedairnet,fuelsubtotalamount,fuelsubtotalnet,fuelsubtotalbtu,generationexpensesamount,miscellaneousexpensesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalamountnet,operationexpenseamount,operationexpensenet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofgeneratingamount,maintenanceofmiscellaneousamount,maintenanceexpenseamount,maintenanceexpensenet,totalproductionexpenseamount,totalproductionexpensenet,depreciationamount,interestamount,totalfixedcostamount,totalfixedcostnet,powercostamount,powercostnet
2013,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fueloilamount,fueloilbtu,fuelgasamount,fuelgasbtu,fuelotheramount,fuelotherbtu,energyforcompressedairamount,energyforcompressedairnet,fuelsubtotalamount,fuelsubtotalnet,fuelsubtotalbtu,generationexpensesamount,miscellaneousexpensesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalamountnet,operationexpenseamount,operationexpensenet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofgeneratingamount,maintenanceofmiscellaneousamount,maintenanceexpenseamount,maintenanceexpensenet,totalproductionexpenseamount,totalproductionexpensenet,depreciationamount,interestamount,totalfixedcostamount,totalfixedcostnet,powercostamount,powercostnet
2014,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fueloilamount,fueloilbtu,fuelgasamount,fuelgasbtu,fuelotheramount,fuelotherbtu,energyforcompressedairamount,energyforcompressedairnet,fuelsubtotalamount,fuelsubtotalnet,fuelsubtotalbtu,generationexpensesamount,miscellaneousexpensesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalamountnet,operationexpenseamount,operationexpensenet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofgeneratingamount,maintenanceofmiscellaneousamount,maintenanceexpenseamount,maintenanceexpensenet,totalproductionexpenseamount,totalproductionexpensenet,depreciationamount,interestamount,totalfixedcostamount,totalfixedcostnet,powercostamount,powercostnet
2015,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fueloilamount,fueloilbtu,fuelgasamount,fuelgasbtu,fuelotheramount,fuelotherbtu,energyforcompressedairamount,energyforcompressedairnet,fuelsubtotalamount,fuelsubtotalnet,fuelsubtotalbtu,generationexpensesamount,miscellaneousexpensesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalamountnet,operationexpenseamount,operationexpensenet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofgeneratingamount,maintenanceofmiscellaneousamount,maintenanceexpenseamount,maintenanceexpensenet,totalproductionexpenseamount,totalproductionexpensenet,depreciationamount,interestamount,totalfixedcostamount,totalfixedcostnet,powercostamount,powercostnet
