year_index,utility_id_eia,utility_name_eia,plant_id_eia,plant_name_eia,state,county,generator_id,technology_description,prime_mover_code,operational_status_code,capacity_mw,summer_capacity_mw,winter_capacity_mw,unit_id_eia,original_planned_operating_month,original_planned_operating_year,current_planned_operating_month,current_planned_operating_year,energy_source_code_1,energy_source_code_2,energy_source_code_3,energy_source_code_4,energy_source_code_5,energy_source_code_6,multiple_fuels,ownership_code,turbines_num,associated_combined_heat_power,sector_name,sector_id,duct_burners,solid_fuel_gasification,pulverized_coal_tech,fluidized_bed_tech,subcritical_tech,supercritical_tech,ultrasupercritical_tech,carbon_capture,startup_source_code_1,startup_source_code_2,startup_source_code_3,startup_source_code_4,summer_estimated_capability_mw,winter_estimated_capability_mw,operating_switch,bypass_heat_recovery,rto_iso_lmp_node_id,rto_iso_location_wholesale_reporting_id,nameplate_power_factor,turbines_inverters_hydrokinetics,stoker_tech,other_combustion_tech,switch_oil_gas,cofire_fuels,previously_canceled
2009,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,,prime_mover,status,nameplate,summer_capability,winter_capability,unit_code,effective_month,effective_year,current_month,current_year,energy_source_1,energy_source_2,energy_source_3,energy_source_4,energy_source_5,energy_source_6,multiple_fuels,ownership,turbines,cogenerator,,,,sfg_system,pulverized_coal,fluidized_bed,subcritical,supercritical,ultrasupercritical,carboncapture,startup_source_1,startup_source_2,startup_source_3,startup_source_4,summer_estimated_capability,winter_estimated_capability,,,,,,,,,,,
2010,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,,prime_mover,status,nameplate,summer_capability,winter_capability,unit_code,effective_month,effective_year,current_month,current_year,energy_source_1,energy_source_2,energy_source_3,energy_source_4,energy_source_5,energy_source_6,multiple_fuels,ownership,turbines,cogenerator,sector_name,sector_number,,sfg_system,pulverized_coal,fluidized_bed,subcritical,supercritical,ultrasupercritical,carboncapture,startup_source_1,startup_source_2,startup_source_3,startup_source_4,,,operating_switch,,,,,,,,,,
2011,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,,prime_mover,status,nameplate,summer_capability,winter_capability,unit_code,effective_month,effective_year,current_month,current_year,energy_source_1,energy_source_2,energy_source_3,energy_source_4,energy_source_5,energy_source_6,multiple_fuels,ownership,turbines,cogenerator,sector_name,sector,duct_burners,sfg_system,pulverized_coal,fluidized_bed,subcritical,supercritical,ultrasupercritical,carboncapture,startup_source_1,startup_source_2,startup_source_3,startup_source_4,,,,,,,,,,,,,
2012,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,,prime_mover,status,nameplate_capacity_mw,summer_capacity_mw,winter_capacity_mw,unit_code,effective_month,effective_year,current_month,current_year,energy_source_1,energy_source_2,energy_source_3,energy_source_4,energy_source_5,energy_source_6,multiple_fuels,ownership,turbines,cogenerator,sector_name,sector,,solid_fuel_gasification_system,pulverized_coal_technology,fluidized_bed_technology,subcritical_technology,supercritical_technology,ultrasupercritical_technology,carbon_capture_technology,startup_source_1,startup_source_2,startup_source_3,startup_source_4,,,,,,,,,,,,,
2013,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,,prime_mover,status,nameplate_capacity_mw,summer_capacity_mw,winter_capacity_mw,unit_code,effective_month,effective_year,current_month,current_year,energy_source_1,energy_source_2,energy_source_3,energy_source_4,energy_source_5,energy_source_6,,ownership,,associated_with_combined_heat_and_power_system,sector_name,sector,duct_burners,solid_fuel_gasification_system,pulverized_coal_technology,fluidized_bed_technology,subcritical_technology,supercritical_technology,ultrasupercritical_technology,carbon_capture_technology,,,,,,,,can_bypass_heat_recovery_steam_generator,rto_iso_lmp_node_designation,rto_iso_location_designation_for_reporting_wholesale_sales_data_to_ferc,nameplate_power_factor,turbines_inverters_or_hydrokinetic_buoys,stoker_technology,other_combustion_technology,switch_between_oil_and_natural_gas,cofire_fuels,previously_canceled
2014,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,technology,prime_mover,status,nameplate_capacity_mw,summer_capacity_mw,winter_capacity_mw,unit_code,effective_month,effective_year,current_month,current_year,energy_source_1,energy_source_2,energy_source_3,energy_source_4,energy_source_5,energy_source_6,,ownership,,associated_with_combined_heat_and_power_system,sector_name,sector,duct_burners,solid_fuel_gasification_system,pulverized_coal_technology,fluidized_bed_technology,subcritical_technology,supercritical_technology,ultrasupercritical_technology,carbon_capture_technology,,,,,,,,can_bypass_heat_recovery_steam_generator,rto_iso_lmp_node_designation,rto_iso_location_designation_for_reporting_wholesale_sales_data_to_ferc,nameplate_power_factor,turbines_inverters_or_hydrokinetic_buoys,stoker_technology,other_combustion_technology,switch_between_oil_and_natural_gas,cofire_fuels,previously_canceled
2015,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,technology,prime_mover,status,nameplate_capacity_mw,summer_capacity_mw,winter_capacity_mw,unit_code,effective_month,effective_year,current_month,current_year,energy_source_1,energy_source_2,energy_source_3,energy_source_4,energy_source_5,energy_source_6,,ownership,,associated_with_combined_heat_and_power_system,sector_name,sector,duct_burners,solid_fuel_gasification_system,pulverized_coal_technology,fluidized_bed_technology,subcritical_technology,supercritical_technology,ultrasupercritical_technology,carbon_capture_technology,,,,,,,,can_bypass_heat_recovery_steam_generator,rto_iso_lmp_node_designation,rto_iso_location_designation_for_reporting_wholesale_sales_data_to_ferc,nameplate_power_factor,turbines_inverters_or_hydrokinetic_buoys,stoker_technology,other_combustion_technology,switch_between_oil_and_natural_gas,cofire_fuels,previously_canceled
2016,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,technology,prime_mover,status,nameplate_capacity_mw,summer_capacity_mw,winter_capacity_mw,unit_code,effective_month,effective_year,current_month,current_year,energy_source_1,energy_source_2,energy_source_3,energy_source_4,energy_source_5,energy_source_6,multiple_fuels,ownership,,associated_with_combined_heat_and_power_system,sector_name,sector,duct_burners,solid_fuel_gasification_system,pulverized_coal_technology,fluidized_bed_technology,subcritical_technology,supercritical_technology,ultrasupercritical_technology,carbon_capture_technology,,,,,,,,can_bypass_heat_recovery_steam_generator,rto_iso_lmp_node_designation,rto_iso_location_designation_for_reporting_wholesale_sales_data_to_ferc,nameplate_power_factor,turbines_or_hydrokinetic_buoys,stoker_technology,other_combustion_technology,switch_between_oil_and_natural_gas,cofire_fuels,previously_canceled
2017,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,technology,prime_mover,status,nameplate_capacity_mw,summer_capacity_mw,winter_capacity_mw,unit_code,effective_month,effective_year,current_month,current_year,energy_source_1,energy_source_2,energy_source_3,energy_source_4,energy_source_5,energy_source_6,multiple_fuels,ownership,,associated_with_combined_heat_and_power_system,sector_name,sector,duct_burners,solid_fuel_gasification_system,pulverized_coal_technology,fluidized_bed_technology,subcritical_technology,supercritical_technology,ultrasupercritical_technology,carbon_capture_technology,,,,,,,,can_bypass_heat_recovery_steam_generator,rto_iso_lmp_node_designation,rto_iso_location_designation_for_reporting_wholesale_sales_data_to_ferc,nameplate_power_factor,turbines_or_hydrokinetic_buoys,stoker_technology,other_combustion_technology,switch_between_oil_and_natural_gas,cofire_fuels,previously_canceled
2018,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,technology,prime_mover,status,nameplate_capacity_mw,summer_capacity_mw,winter_capacity_mw,unit_code,effective_month,effective_year,current_month,current_year,energy_source_1,energy_source_2,energy_source_3,energy_source_4,energy_source_5,energy_source_6,multiple_fuels,ownership,,associated_with_combined_heat_and_power_system,sector_name,sector,duct_burners,solid_fuel_gasification_system,pulverized_coal_technology,fluidized_bed_technology,subcritical_technology,supercritical_technology,ultrasupercritical_technology,carbon_capture_technology,,,,,,,,can_bypass_heat_recovery_steam_generator,rto_iso_lmp_node_designation,rto_iso_location_designation_for_reporting_wholesale_sales_data_to_ferc,nameplate_power_factor,turbines_or_hydrokinetic_buoys,stoker_technology,other_combustion_technology,switch_between_oil_and_natural_gas,cofire_fuels,previously_canceled
